salesperson_sk,salesperson_id,salesperson_name,salesperson_role
1,SP00001,John Norris,Salesperson
2,SP00002,Richard Avery,Manager
3,SP00003,Julie Avila,Manager
4,SP00004,Rhonda Mccarthy,Salesperson
5,SP00005,Kathryn Jackson,Salesperson
6,SP00006,Veronica Cisneros,Salesperson
7,SP00007,Brian Frederick,Sales Associate
8,SP00008,Stephanie Patterson,Senior Salesperson
9,SP00009,Sara Miller,Manager
10,SP00010,Anthony Spencer,Senior Salesperson
11,SP00011,Eric Montes,Senior Salesperson
12,SP00012,Brett Mcmahon,Manager
13,SP00013,Karen Moreno,Sales Associate
14,SP00014,Samantha Gonzalez,Salesperson
15,SP00015,Charles Williams,Sales Associate
16,SP00016,Melissa Robinson,Senior Salesperson
17,SP00017,Tracie Andrews,Senior Salesperson
18,SP00018,Aaron Smith,Salesperson
19,SP00019,Matthew Hall,Senior Salesperson
20,SP00020,Daniel Stark,Senior Salesperson
21,SP00021,Thomas Huffman,Manager
22,SP00022,Kimberly Anderson,Manager
23,SP00023,Kelly Sutton,Manager
24,SP00024,Matthew Khan,Senior Salesperson
25,SP00025,Maria Lopez,Sales Associate
26,SP00026,Nathaniel Hill,Manager
27,SP00027,Donald Stewart,Sales Associate
28,SP00028,Jacqueline Chen,Senior Salesperson
29,SP00029,James Harper,Salesperson
30,SP00030,Matthew Johnson,Manager
31,SP00031,Chelsea Tucker,Manager
32,SP00032,Jessica Juarez,Sales Associate
33,SP00033,Nicole Anderson,Sales Associate
34,SP00034,Megan Bennett,Sales Associate
35,SP00035,Thomas Nguyen,Salesperson
36,SP00036,Cassandra Lane,Salesperson
37,SP00037,Michael King,Salesperson
38,SP00038,Randy Robinson,Manager
39,SP00039,Jodi Carney,Manager
40,SP00040,James Garrett,Sales Associate
41,SP00041,Noah Wong,Senior Salesperson
42,SP00042,Molly Wilson,Sales Associate
43,SP00043,Shawn Jacobs,Senior Salesperson
44,SP00044,Jeffrey Waller,Manager
45,SP00045,Glenda Gates,Manager
46,SP00046,Deborah Thompson,Senior Salesperson
47,SP00047,Michael Oliver,Sales Associate
48,SP00048,Christopher Wheeler,Salesperson
49,SP00049,David Dillon,Sales Associate
50,SP00050,Jennifer Miller,Senior Salesperson
51,SP00051,Michael Atkinson,Senior Salesperson
52,SP00052,Susan Wilkinson,Sales Associate
53,SP00053,Daniel Alvarez,Senior Salesperson
54,SP00054,Erin Carpenter,Manager
55,SP00055,Terri Walker,Senior Salesperson
56,SP00056,Luis Jones,Senior Salesperson
57,SP00057,Derrick Buckley,Sales Associate
58,SP00058,Elizabeth Hall,Sales Associate
59,SP00059,Shannon Garza,Senior Salesperson
60,SP00060,Brian Rose,Salesperson
61,SP00061,Paul Brown,Sales Associate
62,SP00062,Janice Simpson,Manager
63,SP00063,Philip Sullivan,Salesperson
64,SP00064,Richard Sosa,Senior Salesperson
65,SP00065,John Edwards,Sales Associate
66,SP00066,Amy Fry,Senior Salesperson
67,SP00067,Brad Wood,Manager
68,SP00068,Tracy Booker,Senior Salesperson
69,SP00069,Sue Green,Senior Salesperson
70,SP00070,Jonathon Thomas,Manager
71,SP00071,James Harvey,Sales Associate
72,SP00072,Michelle Wilkerson,Sales Associate
73,SP00073,Martin Davidson,Senior Salesperson
74,SP00074,Katherine Carter,Salesperson
75,SP00075,David Charles,Manager
76,SP00076,Brian Benson,Senior Salesperson
77,SP00077,Morgan James,Salesperson
78,SP00078,Katelyn Price,Sales Associate
79,SP00079,Matthew Austin,Sales Associate
80,SP00080,Shawn Haas,Senior Salesperson
81,SP00081,Amanda Moore,Manager
82,SP00082,Scott Green,Manager
83,SP00083,Jesse Reid,Senior Salesperson
84,SP00084,Sheena Powers,Senior Salesperson
85,SP00085,Stacey Avila,Senior Salesperson
86,SP00086,Natalie Miller,Manager
87,SP00087,Carol Wilson,Senior Salesperson
88,SP00088,Nicholas Coleman,Senior Salesperson
89,SP00089,Bryan Hill,Sales Associate
90,SP00090,Michael Davis,Senior Salesperson
91,SP00091,Teresa Perez,Manager
92,SP00092,Jordan Miller,Senior Salesperson
93,SP00093,Anthony Robinson,Manager
94,SP00094,Glenn Ryan,Senior Salesperson
95,SP00095,Teresa Wilson,Sales Associate
96,SP00096,Angela Gregory,Manager
97,SP00097,Joshua Jarvis,Sales Associate
98,SP00098,Mark Olson,Salesperson
99,SP00099,Renee Ross,Manager
100,SP00100,Michael Hansen,Manager
101,SP00101,Joseph Carroll,Sales Associate
102,SP00102,Michael Delgado,Senior Salesperson
103,SP00103,Christian Foster,Senior Salesperson
104,SP00104,Lisa Douglas,Sales Associate
105,SP00105,Tyler Cortez,Manager
106,SP00106,Courtney Schwartz,Salesperson
107,SP00107,Wayne Lane,Manager
108,SP00108,Mary Chang,Senior Salesperson
109,SP00109,Jeremiah Weber,Sales Associate
110,SP00110,Carlos Ross,Salesperson
111,SP00111,Isaiah Wheeler,Manager
112,SP00112,Lindsay Rios,Sales Associate
113,SP00113,Bethany Murray,Salesperson
114,SP00114,Bruce Mayo,Sales Associate
115,SP00115,Julie Oliver,Senior Salesperson
116,SP00116,Kyle Delgado,Senior Salesperson
117,SP00117,Julie Bentley,Sales Associate
118,SP00118,Christopher Nguyen,Senior Salesperson
119,SP00119,Erika Bell,Salesperson
120,SP00120,Helen Roach,Sales Associate
121,SP00121,Monica Patrick,Senior Salesperson
122,SP00122,Lori Smith,Senior Salesperson
123,SP00123,Gavin Mendez,Salesperson
124,SP00124,Douglas Beltran,Manager
125,SP00125,Douglas Allen,Senior Salesperson
126,SP00126,Tyler Rocha,Sales Associate
127,SP00127,Krista Edwards,Sales Associate
128,SP00128,Stephanie Dennis,Sales Associate
129,SP00129,Chloe Wood,Sales Associate
130,SP00130,Yvonne Hays,Sales Associate
131,SP00131,Alan Gibson,Manager
132,SP00132,Christian Flynn,Salesperson
